anio,observaciones,beta_rolling_36,beta_lp_rolling_36,beta_tvp_base,beta_tvp_pulso,beta_rolling_30
2013,12,0.17122163489184133,0.19269104439401136,0.11098805822535139,0.12213044087403639,0.20190205012930904
2014,12,0.28382920920534044,0.30823367116306294,0.1079422712069271,0.11468446534929513,0.2996803159677984
2015,12,0.23021315185467706,0.39048285621725426,0.1040378367502036,0.10853775560720451,0.25132742453015006
2016,12,0.17658755037405707,0.5187981769178911,0.0986412096631215,0.10264027267136862,0.17108699989875065
2017,12,0.17992895621366617,0.40461249019184614,0.08763456034163036,0.09043274020440542,0.22174860543733532
2018,12,0.17167948216189313,0.37549810473542544,0.07231300761252964,0.07309696839153601,0.14802297582972618
2019,12,0.11367441215511248,0.18356157767585304,0.061234060887199473,0.06112352342935601,0.11574061128822379
2020,12,0.1010924534609149,0.2125948135008993,0.0529089647886159,0.052824955482976624,0.09464299639080206
2021,12,0.06103314456157261,0.1365178056565196,0.04449639072118547,0.04500016496815176,0.056327075069529
2022,12,0.059108208112835126,0.1008230806803854,0.02845091122262089,0.028232924245532164,0.07211764801696818
2023,12,0.06251853566897311,0.10427018121812515,0.01266022896622387,0.010861488065145735,0.0613288783318019
2024,12,0.0496047832834202,0.11440586063059048,0.02189993713377386,0.021769967492438147,0.04708875251976032
2025,12,0.0387659612305259,0.13137174239306743,0.021804913075457014,0.021616920653056496,0.048819394666897616
2026,6,0.0688353837573238,0.18601550101420214,0.01766989660633928,0.01683149972281463,0.1388240794520218
