modelo,intento,convergencia,log_verosimilitud,mensaje
Sensibilidad constante,3,0,49.858001686911,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad constante,1,0,49.85800168691099,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad constante,2,0,49.85800168691082,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad constante,4,0,32.67960967535398,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad constante,5,0,-7.618357345880912,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,7,0,55.493164678316475,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,4,0,55.49316467831563,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,1,0,55.493164678315594,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,3,0,55.49316467831556,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,5,0,55.493164678310585,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,6,0,55.493164678240454,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,2,0,55.49316467791029,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sensibilidad variante,8,0,49.85812046172326,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
