fecha,inflacion,expectativa,meta_inflacion,inflacion_lag1,expectativa_lag1,inflacion_lag2,expectativa_lag2,inflacion_lag3,expectativa_lag3,inflacion_lag4,expectativa_lag4
2010-05-01,3.51,5.7,5,3.75,5.81,3.93,6.26,2.48,4.25,1.43,3.77
2010-06-01,4.07,5.45,5,3.51,5.7,3.75,5.81,3.93,6.26,2.48,4.25
2010-07-01,4.12,5.11,5,4.07,5.45,3.51,5.7,3.75,5.81,3.93,6.26
2010-08-01,4.1,5.57,5,4.12,5.11,4.07,5.45,3.51,5.7,3.75,5.81
2010-09-01,3.76,5.68,5,4.1,5.57,4.12,5.11,4.07,5.45,3.51,5.7
2010-10-01,4.51,5.89,5,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45
2010-11-01,5.25,6.22,5,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11
2010-12-01,5.39,6.2,5,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57
2011-01-01,4.9,5.85,5,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68
2011-02-01,5.24,5.81,5,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89
2011-03-01,4.99,6.13,5,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22
2011-04-01,5.76114812916453,6.19,5,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2
2011-05-01,6.3930220625962,5.74,5,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85
2011-06-01,6.42229936695938,6.16,5,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81
2011-07-01,7.03967446592064,5.88,5,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13
2011-08-01,7.6258261311642,5.95,5,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19
2011-09-01,7.24931562404949,6.43,5,7.6258261311642,5.95,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74
2011-10-01,6.65,6.51,5,7.24931562404949,6.43,7.6258261311642,5.95,7.03967446592064,5.88,6.42229936695938,6.16
2011-11-01,6.05484387510006,6.06,5,6.65,6.51,7.24931562404949,6.43,7.6258261311642,5.95,7.03967446592064,5.88
