codigo_modelo,descripcion,intento,exito,convergencia,log_verosimilitud,mensaje
M0A,Sistema aumentado con 4 rezagos en inflación; todos los coeficientes constantes,1,TRUE,0,-124.4031837245112,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M0A,Sistema aumentado con 4 rezagos en inflación; todos los coeficientes constantes,2,TRUE,0,-124.40318372451117,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M0A,Sistema aumentado con 4 rezagos en inflación; todos los coeficientes constantes,3,TRUE,0,-158.3041243538576,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,1,TRUE,0,-132.4943733922937,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,2,TRUE,0,-115.24465325650668,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,3,TRUE,0,-115.24388323531664,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,4,TRUE,0,-109.2504391511853,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,5,TRUE,0,-109.25043937724439,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,6,TRUE,0,-109.25043915109131,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,7,TRUE,0,-109.25043915358681,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,8,TRUE,0,-109.25043916146642,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,9,TRUE,0,-109.25043915116008,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,10,TRUE,0,-109.25043916239531,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,11,TRUE,0,-109.25043925835074,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3B,M3 original sobre la muestra común: inflación con un rezago; c0_t y c_t variantes,12,TRUE,0,-109.25043916649527,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,1,TRUE,0,-124.40245887246355,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,2,TRUE,0,-107.15273884172956,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,3,TRUE,0,-107.15197075486859,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,4,TRUE,0,-101.15852463711784,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,5,TRUE,0,-101.15852464072854,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,6,TRUE,0,-101.15852463712118,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,7,TRUE,0,-101.1585246388614,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,8,TRUE,0,-101.1585246371274,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,9,TRUE,0,-101.15852463722644,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,10,TRUE,0,-101.15852463901676,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,11,TRUE,0,-101.15852463713885,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3A,Candidato M3 aumentado: inflación con 4 rezagos constantes; c0_t y c_t variantes; d constante,12,TRUE,0,-101.15852463714117,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,1,TRUE,0,-124.40200981887023,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,2,TRUE,0,-99.32236338858844,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,3,TRUE,0,-99.32234291004974,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,4,TRUE,0,-99.32206953008112,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,5,TRUE,0,-99.0097594498334,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,6,TRUE,0,-99.00801915815283,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,7,TRUE,0,-99.00802865111926,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,8,TRUE,0,-99.00801612500287,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,9,TRUE,0,-99.00801283956339,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,10,TRUE,0,-99.00813243016829,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,11,TRUE,0,-101.16079342996375,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,12,TRUE,0,-99.32190297991161,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M3AD,M3 aumentado permitiendo además d_t variante,13,TRUE,0,-99.32195828112204,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
