indice_modelo,fecha,residuo_estandarizado,abs_residuo,z_robusto,abs_z_robusto,p_bilateral_normal,umbral_bonferroni,criterio_clasico,criterio_robusto,criterio_bonferroni,candidato_formal,JB_sin_observacion,reduccion_JB_al_excluir,ranking
29,2012-09-01,3.1442658155781698,3.1442658155781698,4.4427366562126664,4.4427366562126664,0.001665041198824163,3.624950019619604,FALSE,TRUE,FALSE,TRUE,0.5800537565073381,5.267494578549618,1
23,2012-03-01,-2.576840396517253,2.576840396517253,-3.08595941121246,3.08595941121246,0.009970797759687448,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.469571115334504,-0.6220227802775478,2
52,2014-08-01,-2.404618197848233,2.404618197848233,-2.859323417791904,2.859323417791904,0.016189369911695742,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.655661181585608,-0.808112846528652,3
61,2015-05-01,-2.2013683028505415,2.2013683028505415,-2.5918564929621284,2.5918564929621284,0.027709961055971514,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.756062241694711,-0.9085139066377552,4
34,2013-02-01,-2.1726662670290895,2.1726662670290895,-2.554086017077725,2.554086017077725,0.02980544440962634,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.760049500109118,-0.91250116505216194,5
44,2013-12-01,2.1255115658772175,2.1255115658772175,3.1021058710018106,3.1021058710018106,0.03354395002704095,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.8156230919021015,0.03192524315485468,6
38,2013-06-01,2.013929770162248,2.013929770162248,2.955269683129703,2.955269683129703,0.04401690744791755,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.125535745224121,-0.27798741016716466,7
39,2013-07-01,-1.953414133417266,1.953414133417266,-2.265560928589056,2.265560928589056,0.05077054284953176,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.717514845739409,-0.8699665106824526,8
49,2014-05-01,-1.9370135228426812,1.9370135228426812,-2.243978526906808,2.243978526906808,0.05274369036722887,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.70972121600478,-0.8621728809478242,9
64,2015-08-01,-1.9285280782153913,1.9285280782153913,-2.23281209663485,2.23281209663485,0.05378947523131852,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.705468679043825,-0.8579203439868692,10
188,2025-12-01,1.9250645942744646,1.9250645942744646,2.8383274563234724,2.8383274563234724,0.05422127769481786,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.31896931162909,-0.47142097657213355,11
30,2012-10-01,-1.7591803008908662,1.7591803008908662,-2.009958701171778,2.009958701171778,0.07854688907605874,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.593030741553666,-0.74548240649671,12
85,2017-05-01,-1.7254300021550093,1.7254300021550093,-1.965544958104071,1.965544958104071,0.08445000834775938,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.565307030993742,-0.7177586959367854,13
22,2012-02-01,1.6730759378481617,1.6730759378481617,2.5067227043156266,2.5067227043156266,0.09431234776433259,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.640059224530435,-0.7925108894734789,14
28,2012-08-01,-1.6419115422816426,1.6419115422816426,-1.855638748169241,1.855638748169241,0.10060833747251151,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.4909512086294185,-0.6434028735724624,15
89,2017-09-01,1.5125531107924972,1.5125531107924972,2.295482511950223,2.295482511950223,0.13039321222181677,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.699571698698604,-0.8520233636416474,16
138,2021-10-01,-1.5079883922495667,1.5079883922495667,-1.6794024302956063,1.6794024302956063,0.13155749789709925,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.359246320930885,-0.511697985873929,17
57,2015-01-01,-1.3427527555398702,1.3427527555398702,-1.4619604108370747,1.4619604108370747,0.17935204596596316,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.186744356236047,-0.33919602117909076,18
74,2016-06-01,1.327113012808797,1.327113012808797,2.051452409261137,2.051452409261137,0.18447130137483245,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.6642471968195816,-0.8166988617626254,19
60,2015-04-01,-1.2961021977067904,1.2961021977067904,-1.400570557497425,1.400570557497425,0.19494027793516783,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.137883453610312,-0.29033511855335625,20
176,2024-12-01,1.2891201613348506,1.2891201613348506,2.001455674210591,2.001455674210591,0.197356315425111,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.6462265807561876,-0.7986782456992314,21
102,2018-10-01,-1.2627823457480283,1.2627823457480283,-1.3567232613436204,1.3567232613436204,0.20666741098268213,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.103260765390035,-0.25571243033307844,22
25,2012-05-01,-1.2268684554862475,1.2268684554862475,-1.3094623376068497,1.3094623376068497,0.21987203637382885,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.066329179858703,-0.21878084480174653,23
46,2014-02-01,-1.2052678560159822,1.2052678560159822,-1.2810370047678972,1.2810370047678972,0.22809991436795043,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.044357981315589,-0.1968096462586333,24
35,2013-03-01,-1.177237087167743,1.177237087167743,-1.2441498834016695,1.2441498834016695,0.23910088969548274,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.016165690707351,-0.1686173556503947,25
154,2023-02-01,-1.1616119699902414,1.1616119699902414,-1.2235879931157303,1.2235879931157303,0.24539311767128122,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.000624811831815,-0.15307647677485914,26
130,2021-02-01,1.1562714462759813,1.1562714462759813,1.8266332602320425,1.8266332602320425,0.24757014391182083,3.624950019619604,FALSE,FALSE,FALSE,FALSE,6.561282560562551,-0.7137342255055952,27
116,2019-12-01,-1.152652732329512,1.152652732329512,-1.2117980743757395,1.2117980743757395,0.24905294981060103,3.624950019619604,FALSE,FALSE,FALSE,FALSE,5.991774625372203,-0.14422629031524714,28
