fecha,inflacion,expectativa,meta_inflacion,tc_raw,petroleo_raw,infl_ext_raw,gap_raw,inflacion_lag1,expectativa_lag1,inflacion_lag2,expectativa_lag2,inflacion_lag3,expectativa_lag3,inflacion_lag4,expectativa_lag4,inflacion_lag5,expectativa_lag5,inflacion_lag6,expectativa_lag6,inflacion_lag7,expectativa_lag7,inflacion_lag8,expectativa_lag8,inflacion_lag9,expectativa_lag9,inflacion_lag10,expectativa_lag10,inflacion_lag11,expectativa_lag11,inflacion_lag12,expectativa_lag12,tc_lag,petroleo_lag,infl_ext_lag,gap_lag,z_tc_lag,z_petroleo_lag,z_infl_ext_lag
2011-02-01,5.24,5.81,5,-4.32663330503598,14.8070925535872,2.12489817333315,NA,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45,3.51,5.7,3.75,5.81,3.93,6.26,2.48,4.25,-4.90872571931833,12.9673351150887,1.70078349150297,NA,-2.2189401710391494,0.41797000626683734,-0.47879815777044443
2011-03-01,4.99,6.13,5,-4.05226177638212,23.6376942314008,2.61924151035412,NA,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45,3.51,5.7,3.75,5.81,3.93,6.26,-4.32663330503598,14.8070925535872,2.12489817333315,NA,-1.9334485856448942,0.47192466420864204,-0.25350478878264565
2011-04-01,5.76114812916453,6.19,5,-4.8128558128766,26.1924178855588,3.07723444478687,NA,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45,3.51,5.7,3.75,5.81,-4.05226177638212,23.6376942314008,2.61924151035412,NA,-1.798881013932062,0.7309001590084405,0.009094646241675938
2011-05-01,6.3930220625962,5.74,5,-4.51046614602539,31.3541791035781,3.4589718808965,NA,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45,3.51,5.7,-4.8128558128766,26.1924178855588,3.07723444478687,NA,-2.1719200572048325,0.8058226667323002,0.2523844345736859
2011-06-01,6.42229936695938,6.16,5,-2.70381857401678,24.5138460016181,3.50231815063604,NA,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,4.07,5.45,-4.51046614602539,31.3541791035781,3.4589718808965,NA,-2.02361077971214,0.9572018948129324,0.4551666459292921
2011-07-01,7.03967446592064,5.88,5,-3.07518822970279,24.2906172040498,3.57988097699962,NA,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,4.12,5.11,-2.70381857401678,24.5138460016181,3.50231815063604,NA,-1.1375269433211124,0.75659510556931,0.4781925574599498
2011-08-01,7.6258261311642,5.95,5,-2.35821114731185,11.9627206982543,3.75499603070809,NA,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,4.1,5.57,-3.07518822970279,24.2906172040498,3.57988097699962,NA,-1.3196679731090217,0.7500484635155685,0.5193945983425231
2011-09-01,7.24931562404949,6.43,5,-2.72179944174362,12.7986263471761,3.81262169281868,NA,7.6258261311642,5.95,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,3.76,5.68,-2.35821114731185,11.9627206982543,3.75499603070809,NA,-0.9680211917375514,0.3885076292765623,0.612417221940962
2011-10-01,6.65,6.51,5,-2.74179687377827,5.26771307456864,3.52226813066406,NA,7.24931562404949,6.43,7.6258261311642,5.95,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,4.51,5.89,-2.72179944174362,12.7986263471761,3.81262169281868,NA,-1.1463457946033935,0.4130222758356254,0.6430284695898839
2011-11-01,6.05484387510006,6.06,5,-2.4861809933248,14.2541523885535,3.45143221458173,NA,6.65,6.51,7.24931562404949,6.43,7.6258261311642,5.95,7.03967446592064,5.88,6.42229936695938,6.16,6.3930220625962,5.74,5.76114812916453,6.19,4.99,6.13,5.24,5.81,4.9,5.85,5.39,6.2,5.25,6.22,-2.74179687377827,5.26771307456864,3.52226813066406,NA,-1.1561536849577536,0.19216280756542092,0.4887901585435917
