codigo_modelo,intento,exito,convergencia,log_verosimilitud,mensaje
S0,1,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,2,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,3,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,4,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,5,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,6,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,7,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,8,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,9,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,10,TRUE,0,-121.21678844400635,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,11,TRUE,0,-121.21678844400223,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S0,12,TRUE,0,-155.38048446905412,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,1,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,2,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,3,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,4,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,5,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,6,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,7,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,8,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,9,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,10,TRUE,0,-121.62131863412677,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,11,TRUE,0,-121.62131863412935,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S1,12,TRUE,0,-155.44528175327466,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S2,1,TRUE,0,-113.51555450972158,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S2,2,TRUE,0,-113.51555450972158,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
