codigo_modelo,ecuacion,diagnostico,rezago,estadistico,p_valor
S0,inflacion,Ljung-Box,1,22.25953244137792,2.381734472978181e-6
S0,inflacion,Ljung-Box,2,22.265690631360638,1.4624017952047375e-5
S0,inflacion,Ljung-Box,5,27.871213381407355,3.857054776046365e-5
S0,inflacion,Ljung-Box,12,103.64444449634243,1.1102230246251565e-16
S0,inflacion,Ljung-Box,18,112.4160804871074,1.1102230246251565e-15
S0,inflacion,Ljung-Box,24,135.81108825438923,0
S0,inflacion,Jarque-Bera,NA,6.410741936809557,0.04054385835729524
S0,expectativa,Ljung-Box,1,9.154716760044154e-4,0.9758622793103682
S0,expectativa,Ljung-Box,2,1.7955746395147458,0.4074702644015854
S0,expectativa,Ljung-Box,5,12.795274559539958,0.025374693605998755
S0,expectativa,Ljung-Box,12,20.159953658588528,0.06412003317942783
S0,expectativa,Ljung-Box,18,30.036792495121865,0.03709032306645477
S0,expectativa,Ljung-Box,24,36.95879650485523,0.04417589010681833
S0,expectativa,Jarque-Bera,NA,3.3660693455706743,0.1858092493202229
S1,inflacion,Ljung-Box,1,28.008811022952933,1.207643333112074e-7
S1,inflacion,Ljung-Box,2,28.59136683950007,6.186764370808007e-7
S1,inflacion,Ljung-Box,5,34.12559391702477,2.2477767558370942e-6
S1,inflacion,Ljung-Box,12,111.09021965509073,0
S1,inflacion,Ljung-Box,18,128.6708395011568,0
S1,inflacion,Ljung-Box,24,163.1163553881639,0
S1,inflacion,Jarque-Bera,NA,7.674233938079913,0.02155565747509916
S1,expectativa,Ljung-Box,1,0.03151215541372748,0.8591026005295213
S1,expectativa,Ljung-Box,2,1.953342937990185,0.376562414847167
S1,expectativa,Ljung-Box,5,15.4209144350648,0.008707395874848811
S1,expectativa,Ljung-Box,12,21.301493992739804,0.046136058584710704
S1,expectativa,Ljung-Box,18,30.762046582128132,0.030664582306861088
S1,expectativa,Ljung-Box,24,36.66584967724207,0.047234713929817373
S1,expectativa,Jarque-Bera,NA,3.615618413467929,0.16401306220569078
S2,inflacion,Ljung-Box,1,1.4395404547523765,0.2302137193212661
S2,inflacion,Ljung-Box,2,1.4762211990055667,0.4780162269356414
S2,inflacion,Ljung-Box,5,5.468671918656461,0.3613933492078343
S2,inflacion,Ljung-Box,12,56.08844538357085,1.1538853716963615e-7
S2,inflacion,Ljung-Box,18,60.8153139875731,1.5096474953457673e-6
S2,inflacion,Ljung-Box,24,84.61929366068411,1.0992852961244637e-8
S2,inflacion,Jarque-Bera,NA,2.408072556568795,0.2999809584167903
S2,expectativa,Ljung-Box,1,0.15953980007450091,0.6895805654056777
S2,expectativa,Ljung-Box,2,3.68755559494308,0.1582185779119536
S2,expectativa,Ljung-Box,5,16.46216302020104,0.00564128205292147
S2,expectativa,Ljung-Box,12,24.78186550396126,0.015891047864338037
S2,expectativa,Ljung-Box,18,33.175183786078016,0.015893900448387677
S2,expectativa,Ljung-Box,24,44.49543472058945,0.006678770889053998
S2,expectativa,Jarque-Bera,NA,2.4728357815436923,0.29042268265320803
S3,inflacion,Ljung-Box,1,21.328551803794035,3.869255097210811e-6
S3,inflacion,Ljung-Box,2,21.32932875499469,2.3355819459891514e-5
S3,inflacion,Ljung-Box,5,29.42151039911957,1.9164885492251038e-5
S3,inflacion,Ljung-Box,12,82.5545063487334,1.340927369142264e-12
S3,inflacion,Ljung-Box,18,91.2868285564278,8.476330748408145e-12
S3,inflacion,Ljung-Box,24,102.48841079980106,1.127276050283399e-11
S3,inflacion,Jarque-Bera,NA,5.44043895729063,0.06586029791104722
S3,expectativa,Ljung-Box,1,0.020825833858642007,0.8852544297570777
S3,expectativa,Ljung-Box,2,1.7787680051007235,0.4109087935769701
S3,expectativa,Ljung-Box,5,12.230991636758894,0.031756144001709785
S3,expectativa,Ljung-Box,12,18.83473313491618,0.09259563918102787
S3,expectativa,Ljung-Box,18,26.7356769192937,0.08408841310300219
S3,expectativa,Ljung-Box,24,33.35186538740316,0.09686415318308039
S3,expectativa,Jarque-Bera,NA,4.0234166483659095,0.13375997397870543
S5,inflacion,Ljung-Box,1,33.22599117888293,8.204651735788104e-9
S5,inflacion,Ljung-Box,2,34.64220018193852,3.002906501237135e-8
S5,inflacion,Ljung-Box,5,39.612114092102885,1.7879594427228085e-7
S5,inflacion,Ljung-Box,12,100.0155215328451,5.551115123125783e-16
S5,inflacion,Ljung-Box,18,121.11941459851893,0
S5,inflacion,Ljung-Box,24,138.66817762506932,0
S5,inflacion,Jarque-Bera,NA,2.68085452124922,0.26173381613319174
S5,expectativa,Ljung-Box,1,0.010649440215772975,0.9178073152927915
S5,expectativa,Ljung-Box,2,1.6540460608980772,0.4373493258986344
S5,expectativa,Ljung-Box,5,12.22340841653059,0.03185154005173241
S5,expectativa,Ljung-Box,12,18.970080096647987,0.08925306468037453
S5,expectativa,Ljung-Box,18,27.117432002142095,0.07681910525838764
S5,expectativa,Ljung-Box,24,33.65050019804991,0.09107481887816948
S5,expectativa,Jarque-Bera,NA,3.9156697641424505,0.14116372640552322
S6,inflacion,Ljung-Box,1,1.668615516020831,0.19644407732339197
S6,inflacion,Ljung-Box,2,1.971990705475011,0.3730677081066526
S6,inflacion,Ljung-Box,5,6.277984907862806,0.28010174869923854
S6,inflacion,Ljung-Box,12,50.831669817450326,9.973980940047866e-7
S6,inflacion,Ljung-Box,18,56.587494600029125,7.1959152631029255e-6
S6,inflacion,Ljung-Box,24,77.3137726563436,1.6204007491360528e-7
S6,inflacion,Jarque-Bera,NA,2.249384945606045,0.3247523221748772
S6,expectativa,Ljung-Box,1,0.198973568579102,0.6555506305721199
S6,expectativa,Ljung-Box,2,5.012330887001967,0.0815804651371802
S6,expectativa,Ljung-Box,5,15.726147624923403,0.007671022666330907
S6,expectativa,Ljung-Box,12,23.981032996448292,0.02046219004790506
S6,expectativa,Ljung-Box,18,31.40810843653651,0.02580898762195838
S6,expectativa,Ljung-Box,24,41.647392675946435,0.014128351998033195
S6,expectativa,Jarque-Bera,NA,2.6347872999007587,0.26783245819531915
C0,expectativa,Ljung-Box,1,0.007578069223770029,0.9306300943756189
C0,expectativa,Ljung-Box,2,0.5777169564731766,0.7491182144319103
C0,expectativa,Ljung-Box,5,4.090272770137448,0.536493524849207
C0,expectativa,Ljung-Box,12,13.594467949265988,0.327350531470718
C0,expectativa,Ljung-Box,18,26.1027100949018,0.09743255462525124
C0,expectativa,Ljung-Box,24,28.52793432418816,0.23840384478840337
C0,expectativa,Jarque-Bera,NA,3.947732024054365,0.13891875515444346
