rezagos,AIC(n),HQ(n),SC(n),FPE(n)
1,-4.500719408775315,-4.4585518157623465,-4.396663064461986,0.011101069617481068
2,-4.73194806673224,-4.66166874504396,-4.5585208262100245,0.008809521490295166
3,-4.774776977658092,-4.6763859272945005,-4.531978840926991,0.00844056654925291
4,-4.771705999476891,-4.6452032204379865,-4.459536966536904,0.008467205663626133
5,-4.7625027484025235,-4.6078882406883075,-4.38096281925365,0.008546560321490473
6,-4.738984419765077,-4.556258183375549,-4.288073594407318,0.008751520241793218
7,-4.713496209308042,-4.502658244243202,-4.193214487741397,0.008979651989641086
8,-4.697022776142203,-4.45807308240205,-4.107370158366671,0.009131734304310402
9,-4.692145343209315,-4.425083920793851,-4.033121829224897,0.009180118551708642
10,-4.676289219511711,-4.381116068420933,-3.9478948093184068,0.00933153752514574
11,-4.682232653004939,-4.358947773238851,-3.88446734660275,0.009281907473404178
12,-4.697704322486165,-4.346307714044764,-3.83056811987509,0.009146068226132564
