rezagos,AIC,BIC,HQ,p_serial_12,p_serial_24,residuos_blancos_5pct
1,337.82519326909375,357.52441564152167,-3.9204262879695206,2.083194727831028e-10,1.9017181562830388e-7,FALSE
2,300.7642180855973,333.54536467790246,-4.073531697500612,4.6425627383550605e-6,8.487984116937186e-4,FALSE
3,196.11388625817665,241.9358800780691,-4.574899420975241,7.43819832371706e-6,0.0038664607394180983,FALSE
4,196.1230839628533,254.94453082599318,-4.54203483967812,3.337018736182529e-5,0.010651785088626298,FALSE
5,197.0915485092783,268.8707326651858,-4.5039416384407875,3.0968508621942448e-6,0.0018611377396590134,FALSE
6,200.80628793582713,285.50116760854945,-4.451231555479316,2.4132145456379206e-6,0.0013362547413462433,FALSE
7,199.65296060896287,297.22116345036176,-4.423541454200545,1.9004512119558115e-6,8.009832196853583e-4,FALSE
8,195.88480188028205,306.28362033373855,-4.409408054873749,1.330555268186373e-7,7.55766854471096e-5,FALSE
9,192.2315430307949,315.41792960306134,-4.394604338810795,7.572929272559037e-8,2.4212087161468165e-4,FALSE
10,198.64782801168104,334.5783904505389,-4.326170211216352,5.866804597687292e-9,9.539397767022173e-5,FALSE
11,190.11169641075298,338.74269278606397,-4.337053419400628,3.2174344299917834e-9,9.390048254753758e-5,FALSE
12,181.91726472184996,343.20459840751005,-4.346307714044764,NA,4.2387515488129246e-4,FALSE
