impulso,respuesta,horizonte,respuesta_estimada,limite_inferior,limite_superior,significativa_95
inflacion,expectativa,0,0.012105854945485377,-0.009083187225200427,0.03279572570745565,FALSE
inflacion,expectativa,1,0.06582477210346083,0.035819095055781076,0.0913303661003674,TRUE
inflacion,expectativa,2,0.0973062629977927,0.060473652315144025,0.12480948505472386,TRUE
inflacion,expectativa,3,0.10043222869004258,0.05686849170768421,0.13204634509834393,TRUE
inflacion,expectativa,4,0.09443323578039076,0.047235696127615155,0.12733897588980642,TRUE
inflacion,expectativa,5,0.0935776190113898,0.04235131299719537,0.12775578822415162,TRUE
inflacion,expectativa,6,0.09261247791480057,0.03618437568828736,0.13045389576346955,TRUE
inflacion,expectativa,7,0.08869190680238402,0.027806438693461312,0.12826512306009932,TRUE
inflacion,expectativa,8,0.08380758429561537,0.017159752475297163,0.12539513594797488,TRUE
inflacion,expectativa,9,0.07942371264731408,0.010255353053827316,0.12177746364007673,TRUE
inflacion,expectativa,10,0.075392458116496,0.004586686806412428,0.11820291726841547,TRUE
inflacion,expectativa,11,0.07145095444849123,-5.996226359139575e-4,0.11496573941489198,FALSE
inflacion,expectativa,12,0.06766652363016992,-0.0038552169218900294,0.10999906677002952,FALSE
inflacion,expectativa,13,0.06415353323216233,-0.007851691247454065,0.10751438111831858,FALSE
inflacion,expectativa,14,0.060916142380102754,-0.008926521821223351,0.10352512710236862,FALSE
inflacion,expectativa,15,0.057913580041215475,-0.009722390569041273,0.10081525105635518,FALSE
inflacion,expectativa,16,0.05512308650447937,-0.011978669447489388,0.09770452036218065,FALSE
inflacion,expectativa,17,0.052534594287982385,-0.013542725183630136,0.09503593416143187,FALSE
inflacion,expectativa,18,0.05013338632423142,-0.013646872772000808,0.09247894858749511,FALSE
inflacion,expectativa,19,0.047900712213046474,-0.013593279591431624,0.08933177144386242,FALSE
inflacion,expectativa,20,0.04581968357861879,-0.012650675572706858,0.08604113287254077,FALSE
inflacion,expectativa,21,0.043876228312324864,-0.012073376001194038,0.08421032557374042,FALSE
inflacion,expectativa,22,0.04205764717258021,-0.01152207502674386,0.08235359965470243,FALSE
inflacion,expectativa,23,0.04035214690872646,-0.011025533240901594,0.07939148388370126,FALSE
inflacion,expectativa,24,0.038749120077191446,-0.01035111156845361,0.07642380981921901,FALSE
expectativa,inflacion,0,0,0,0,FALSE
expectativa,inflacion,1,0.02853686444725591,-0.04931309748397061,0.09869160981960565,FALSE
expectativa,inflacion,2,0.037835874769796315,-0.07907320322675813,0.14322053360361545,FALSE
expectativa,inflacion,3,0.08471291718562685,-0.034525406137235384,0.1894325773534141,FALSE
expectativa,inflacion,4,0.08079707202983603,-0.037111007756734114,0.17692864525887514,FALSE
expectativa,inflacion,5,0.06834635824715118,-0.055257611789829755,0.16103983025757046,FALSE
expectativa,inflacion,6,0.0664878870372888,-0.06409055586767202,0.161999773381773,FALSE
expectativa,inflacion,7,0.06526074030827417,-0.07337548396761914,0.16296854171114353,FALSE
expectativa,inflacion,8,0.06019586921379043,-0.08053910571520939,0.1587712602327851,FALSE
expectativa,inflacion,9,0.05467831330989753,-0.09529794047723332,0.15562166754267714,FALSE
expectativa,inflacion,10,0.050105804029978177,-0.10370051559546767,0.15177291216160438,FALSE
expectativa,inflacion,11,0.04608230242186157,-0.11031474071009427,0.1465028492328363,FALSE
expectativa,inflacion,12,0.04225580763625162,-0.11790441864086931,0.1390894595626828,FALSE
expectativa,inflacion,13,0.03868685030380534,-0.11905424673066572,0.13203556898355862,FALSE
expectativa,inflacion,14,0.035486929859356996,-0.11908441365562084,0.12576299869460775,FALSE
expectativa,inflacion,15,0.03264207247206061,-0.1218182053844161,0.12315895065343654,FALSE
expectativa,inflacion,16,0.03008739886220697,-0.12298811332788216,0.12031016837713812,FALSE
expectativa,inflacion,17,0.027787097770685703,-0.12094994952866599,0.11873213354887484,FALSE
expectativa,inflacion,18,0.02572413624832802,-0.11957467474654034,0.11630567402736164,FALSE
expectativa,inflacion,19,0.023876230715910076,-0.11724042729798237,0.1118941940556211,FALSE
expectativa,inflacion,20,0.022217092553696048,-0.116207257865669,0.10873887913318975,FALSE
expectativa,inflacion,21,0.0207239378184382,-0.11230913688025651,0.10633174604866735,FALSE
expectativa,inflacion,22,0.019378111019457425,-0.10737824698529955,0.10526997965952546,FALSE
expectativa,inflacion,23,0.01816298754072277,-0.10349202556280687,0.10213310987310256,FALSE
expectativa,inflacion,24,0.01706335572577846,-0.09861799292288144,0.10006265058348497,FALSE
