modelo,intento,convergencia,log_verosimilitud,mensaje
Coeficiente beta constante,1,0,53.15716866347018,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,4,0,53.157168663470145,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,2,0,53.157168663469996,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,3,0,37.137281974178684,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,5,0,53.157171058221394,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,8,0,53.15717105654615,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,1,0,53.15717058127249,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,6,0,53.15716950736487,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,4,0,53.15705890481307,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,7,0,53.15703536645951,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,9,0,53.15698593745524,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,3,0,53.15695259078889,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,2,0,53.15675666139527,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
