modelo,intento,convergencia,log_verosimilitud,mensaje
Coeficiente beta constante,4,0,42.94182034089956,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,1,0,42.94182034089833,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,2,0,42.94182034089823,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta constante,3,0,25.763428329341412,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,6,0,43.092918068979834,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,2,0,43.092918068979216,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,8,0,43.0929180689792,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,7,0,43.09291806897915,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,1,0,43.09291806897912,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,9,0,43.092918068977916,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,3,0,43.092918068974974,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,4,0,43.09291806897292,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Coeficiente beta_t variante,5,0,43.09291806892785,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
