date,inflation,exp12,exp24,target,beta,credibility,anchor
2010-01,1.43,3.34,3.77,5,,,
2010-02,2.48,3.97,4.25,5,,0.753486648172879,6.391604626833373
2010-03,3.93,5.39,6.26,5,,0.752540015855456,6.502061701700479
2010-04,3.75,5.04,5.81,5,,0.754696643754731,6.392564311642314
2010-05,3.51,5.36,5.7,5,,0.7564059759488492,6.304925523300238
2010-06,4.07,4.81,5.45,5,,0.7580509337405272,6.220846519927026
2010-07,4.12,4.89,5.11,5,,0.7590842916324363,6.1688019015099345
2010-08,4.1,5.35,5.57,5,,0.7577403982236051,6.225835559346406
2010-09,3.76,5.89,5.68,5,,0.7564300822108616,6.28153857656867
2010-10,4.51,5.96,5.89,5,,0.7550009910364098,6.342899257427923
2010-11,5.25,5.95,6.22,5,,0.7543963513319163,6.3636531630333
2010-12,5.39,5.71,6.2,5,,0.7554597056793193,6.313345604931461
2011-01,4.9,5.99,5.85,5,,0.7571657508881242,6.239039377263523
2011-02,5.24,5.5,5.81,5,,0.7574535938835255,6.217053864418193
2011-03,4.99,6.24,6.13,5,,0.7573081621197237,6.212223530537741
2011-04,5.761148129164530,6.07,6.19,5,,0.758361580954733,6.16245364346383
2011-05,6.393022062596200,5.96,5.74,5,,0.7608601237025002,6.056896040090796
2011-06,6.422299366959380,6.38,6.16,5,,0.7613539660083704,6.020913622616747
2011-07,7.039674465920640,5.96,5.88,5,,0.7629204036410957,5.950959595783303
2011-08,7.625826131164200,6.33,5.95,5,,0.7629304188228185,5.930273940098085
2011-09,7.249315624049490,6.69,6.43,5,,0.7615875826526353,5.949465155149035
2011-10,6.65,6.69,6.51,5,,0.7618630585517913,5.9236151167802475
2011-11,6.054843875100060,6.85,6.06,5,,0.7640259709614738,5.843538386667008
2011-12,6.200000000000000,5.94,5.62,5,,0.7654590386832276,5.786102833254901
2012-01,5.44,5.97,5.95,4.5,,0.7648932919955476,5.794101323733612
2012-02,5.17,6,6.11,4.5,,0.7652585295959035,5.772207630017544
2012-03,4.55,5.59,5.47,4.5,,0.7678588194727417,5.671300483771516
2012-04,4.27,5.84,5.54,4.5,,0.7690997979876234,5.620722536564365
2012-05,3.9,5.26,5.28,4.5,,0.7710973650012751,5.539735017876096
2012-06,3.47,4.89,5.11,4.5,,0.7728831696282937,5.468132512450637
2012-07,2.86,4.71,4.9,4.5,,0.7744667968737018,5.406062300225326
2012-08,2.71,4.44,4.55,4.5,,0.7756249455671536,5.365582777073376
2012-09,3.28,4.91,5.17,4.5,,0.7758541316420622,5.380342637230883
2012-10,3.35,4.7,4.76,4.5,,0.7774987961098959,5.30705664628661
2012-11,3.11,4.48,4.82,4.5,,0.7784715589749986,5.269234537336927
2012-12,3.45,4.65,4.93,4.5,,0.7794330311615039,5.23208606204139
2013-01,3.86,4.53,4.83,4,,0.7809468636412512,5.164875992207021
2013-02,4.18,4.41,4.61,4,,0.7824820587909538,5.096865470182949
2013-03,4.34,4.59,4.66,4,,0.783031472983165,5.073425182030533
2013-04,4.13,4.85,4.93,4,,0.7828396082450796,5.08117445723179
2013-05,4.27,4.71,4.83,4,,0.7830302439896576,5.073337169364364
2013-06,4.79,4.87,5.21,4,,0.7829594804642466,5.076606637679385
2013-07,4.74,4.88,4.81,4,,0.7845191052460172,5.012654562536237
2013-08,4.42,4.85,4.89,4,,0.7848659116424896,4.994163264622641
2013-09,4.21,4.84,4.91,4,,0.7851193076121932,4.979202674942062
2013-10,4.15,4.72,4.71,4,,0.785595785503064,4.955362105359264
2013-11,4.63,4.69,4.7,4,,0.7855090286429447,4.954916044159685
2013-12,4.39,5.09,5.19,4,,0.7851113887921504,4.967540692024946
