"bloque","medida","2010-2026","2010-2015","2016-2020","2021-2026"
"Inflación observada","Media",4.03,4,3.91,4.18
"Inflación observada","Desviación estándar",1.77,1.35,1.04,2.55
"Expectativa a 12 meses","Media",4.43,4.81,4.24,4.2
"Expectativa a 12 meses","Desviación estándar",0.81,0.99,0.31,0.75
"Expectativa a 24 meses","Media",4.44,4.94,4.31,4.04
"Expectativa a 24 meses","Desviación estándar",0.7,0.88,0.24,0.37
"Distancia absoluta a la meta (12 meses)","Media",0.56,0.7,0.34,0.59
"Distancia absoluta a la meta (12 meses)","Desviación estándar",0.43,0.46,0.19,0.49
"Distancia absoluta a la meta (24 meses)","Media",0.46,0.7,0.34,0.3
"Distancia absoluta a la meta (24 meses)","Desviación estándar",0.34,0.39,0.19,0.21
"Expectativa a 12 meses","% dentro de la banda",86.93,79.17,100,83.58
"Expectativa a 24 meses","% dentro de la banda",92.46,79.17,100,100
