"bloque","horizonte","2010-2026","2010-2015","2016-2020","2021-2026"
"Nivel promedio","12 meses",4.43,4.81,4.24,4.2
"Nivel promedio","24 meses",4.44,4.94,4.31,4.04
"Desviación estándar","12 meses",0.81,0.99,0.31,0.75
"Desviación estándar","24 meses",0.7,0.88,0.24,0.37
"Distancia absoluta media respecto de la meta","12 meses",0.56,0.7,0.34,0.59
"Distancia absoluta media respecto de la meta","24 meses",0.46,0.7,0.34,0.3
"Variación mensual absoluta media","12 meses",0.18,0.24,0.14,0.16
"Variación mensual absoluta media","24 meses",0.16,0.25,0.12,0.1
"Observaciones dentro del rango meta (%)","12 meses",86.93,79.17,100,83.58
"Observaciones dentro del rango meta (%)","24 meses",92.46,79.17,100,100
