ipc,inf_sub,,,,,
54.4831537,1.58,,,,,
54.7190115,1.97,,,,,
55.3528794,2.39,,,,,
55.2968631,2.66,,,,,
55.2408469,2.57,,,,,
55.5179798,2.42,,,,,
55.7273036,2.42,,,,,
55.7508894,2.60,,,,,
55.9130417,2.54,,,,,
56.2078639,2.81,,,,,
56.6412527,2.76,,,,,
56.6884242,3.06,,,,,
57.1192562,3.44,,,,,
57.5557571,3.78,,,,,
58.0546152,3.84,,,,,
58.4854473,4.15,,,,,
58.7745582,4.56,,,,,
59.0863446,4.70,,,,,
59.64756,5.18,,,,,
60.004697,5.40,,,,,
59.9650151,5.38,,,,,
59.9423398,5.27,,,,,
60.0727231,5.46,,,,,
60.2031065,5.27,,,,,
60.2597949,4.64,,,,,
60.5602436,4.40,,,,,
60.7586531,4.25,,,,,
60.9854068,4.11,,,,,
61.0647706,3.98,,,,,
61.1384655,3.85,,,,,
61.3538815,3.56,,,,,
61.6316548,3.53,,,,,
61.9321035,3.66,,,,,
61.94911,3.74,,,,,
61.9434411,3.73,,,,,
62.2779028,3.73,,,,,
62.5840203,3.76,,,,,
63.0942161,3.89,,,,,
63.3946648,3.90,,,,,
63.5023728,3.80,,,,,
63.6724381,3.83,,,,,
64.069257,3.92,,,,,
64.2619977,3.85,,,,,
64.3526992,3.65,,,,,
64.539771,3.52,,,,,
64.5227644,3.48,,,,,
64.8118754,3.58,,,,,
65.0102849,3.56,,,,,
65.1746813,3.44,,,,,
65.3050647,3.23,,,,,
65.4524546,3.17,,,,,
65.5771691,3.14,,,,,
65.724559,3.04,,,,,
66.0760273,2.93,,,,,
66.4558397,2.99,,,,,
66.733613,3.14,,,,,
66.767626,3.20,,,,,
66.8696652,3.24,,,,,
67.0000486,3.15,,,,,
66.9263536,3.19,,,,,
66.6882622,3.16,,,,,
66.8980094,3.21,,,,,
67.0397305,3.12,,,,,
67.2664842,3.15,,,,,
67.4025364,3.20,,,,,
67.6519655,3.25,,,,,
67.9977648,3.30,,,,,
68.0431156,3.24,,,,,
68.0204402,3.15,,,,,
68.3605708,3.14,,,,,
68.6836948,3.15,,,,,
68.9784746,3.16,,,,,
69.6077161,3.15,,,,,
