rezago,autocorrelacion
0,0.9999999999999999
1,0.9449238712522692
2,0.8599786145404859
3,0.7786090943235268
4,0.6942836900114705
5,0.5967400219867528
6,0.48433190404480825
7,0.37258936705620094
8,0.27770985319467656
9,0.18811811926967797
10,0.10175461300886805
11,0.0157170554581401
12,-0.04020306969510841
13,-0.03753055730260834
14,-0.019493581782354937
15,-0.008865932187838026
16,-0.003688796043975453
17,0.001473198555432059
18,0.007093630228661871
19,0.00528386087504643
20,-0.01052822984051125
21,-0.023629503227609074
22,-0.042716692611131084
23,-0.07000197741976594
24,-0.11698158061181443
