codigo_modelo,ecuacion,diagnostico,rezago,estadistico,p_valor
S0,inflacion,Ljung-Box,1,22.259532441380017,2.381734472978181e-6
S0,inflacion,Ljung-Box,2,22.265690631362773,1.4624017952047375e-5
S0,inflacion,Ljung-Box,5,27.871213381409966,3.857054776046365e-5
S0,inflacion,Ljung-Box,12,103.64444449634505,1.1102230246251565e-16
S0,inflacion,Ljung-Box,18,112.41608048711,1.1102230246251565e-15
S0,inflacion,Ljung-Box,24,135.81108825439162,0
S0,inflacion,Jarque-Bera,NA,6.410741936808564,0.04054385835731537
S0,expectativa,Ljung-Box,1,9.154716760025222e-4,0.9758622793103932
S0,expectativa,Ljung-Box,2,1.7955746395150383,0.4074702644015258
S0,expectativa,Ljung-Box,5,12.795274559540031,0.02537469360599809
S0,expectativa,Ljung-Box,12,20.159953658587696,0.06412003317944293
S0,expectativa,Ljung-Box,18,30.036792495121105,0.037090323066462094
S0,expectativa,Ljung-Box,24,36.95879650485467,0.04417589010682399
S0,expectativa,Jarque-Bera,NA,3.3660693455693993,0.18580924932034135
S1,inflacion,Ljung-Box,1,28.008811022952933,1.207643333112074e-7
S1,inflacion,Ljung-Box,2,28.59136683950007,6.186764370808007e-7
S1,inflacion,Ljung-Box,5,34.12559391702477,2.2477767558370942e-6
S1,inflacion,Ljung-Box,12,111.09021965509073,0
S1,inflacion,Ljung-Box,18,128.6708395011568,0
S1,inflacion,Ljung-Box,24,163.1163553881639,0
S1,inflacion,Jarque-Bera,NA,7.674233938079913,0.02155565747509916
S1,expectativa,Ljung-Box,1,0.03151215541372748,0.8591026005295213
S1,expectativa,Ljung-Box,2,1.953342937990185,0.376562414847167
S1,expectativa,Ljung-Box,5,15.4209144350648,0.008707395874848811
S1,expectativa,Ljung-Box,12,21.301493992739804,0.046136058584710704
S1,expectativa,Ljung-Box,18,30.762046582128132,0.030664582306861088
S1,expectativa,Ljung-Box,24,36.66584967724207,0.047234713929817373
S1,expectativa,Jarque-Bera,NA,3.615618413467929,0.16401306220569078
S2,inflacion,Ljung-Box,1,1.4395404547523765,0.2302137193212661
S2,inflacion,Ljung-Box,2,1.4762211990055667,0.4780162269356414
S2,inflacion,Ljung-Box,5,5.468671918656461,0.3613933492078343
S2,inflacion,Ljung-Box,12,56.08844538357085,1.1538853716963615e-7
S2,inflacion,Ljung-Box,18,60.8153139875731,1.5096474953457673e-6
S2,inflacion,Ljung-Box,24,84.61929366068411,1.0992852961244637e-8
S2,inflacion,Jarque-Bera,NA,2.408072556568795,0.2999809584167903
S2,expectativa,Ljung-Box,1,0.15953980007450091,0.6895805654056777
S2,expectativa,Ljung-Box,2,3.68755559494308,0.1582185779119536
S2,expectativa,Ljung-Box,5,16.46216302020104,0.00564128205292147
S2,expectativa,Ljung-Box,12,24.78186550396126,0.015891047864338037
S2,expectativa,Ljung-Box,18,33.175183786078016,0.015893900448387677
S2,expectativa,Ljung-Box,24,44.49543472058945,0.006678770889053998
S2,expectativa,Jarque-Bera,NA,2.4728357815436923,0.29042268265320803
S3,inflacion,Ljung-Box,1,21.328551803763396,3.869255097321833e-6
S3,inflacion,Ljung-Box,2,21.329328754964227,2.335581946022458e-5
S3,inflacion,Ljung-Box,5,29.421510399079615,1.9164885492584105e-5
S3,inflacion,Ljung-Box,12,82.55450634868104,1.340927369142264e-12
S3,inflacion,Ljung-Box,18,91.28682855639957,8.476330748408145e-12
S3,inflacion,Ljung-Box,24,102.48841079980122,1.127276050283399e-11
S3,inflacion,Jarque-Bera,NA,5.440438957312171,0.06586029791033787
S3,expectativa,Ljung-Box,1,0.020825833858718473,0.8852544297568685
S3,expectativa,Ljung-Box,2,1.7787680051007286,0.41090879357696897
S3,expectativa,Ljung-Box,5,12.230991636761306,0.031756144001679476
S3,expectativa,Ljung-Box,12,18.834733134920313,0.09259563918092428
S3,expectativa,Ljung-Box,18,26.73567691929773,0.08408841310292237
S3,expectativa,Ljung-Box,24,33.351865387407194,0.09686415318300023
S3,expectativa,Jarque-Bera,NA,4.023416648368274,0.1337599739785473
S5,inflacion,Ljung-Box,1,33.22599117916951,8.204651735788104e-9
S5,inflacion,Ljung-Box,2,34.642200182268724,3.002906501237135e-8
S5,inflacion,Ljung-Box,5,39.61211409224076,1.7879594427228085e-7
S5,inflacion,Ljung-Box,12,100.01552153425679,5.551115123125783e-16
S5,inflacion,Ljung-Box,18,121.11941459963627,0
S5,inflacion,Ljung-Box,24,138.66817762601076,0
S5,inflacion,Jarque-Bera,NA,2.680854521040488,0.26173381616050784
S5,expectativa,Ljung-Box,1,0.010649440215665709,0.9178073152932039
S5,expectativa,Ljung-Box,2,1.6540460608979595,0.43734932589866027
S5,expectativa,Ljung-Box,5,12.223408416526379,0.031851540051785476
S5,expectativa,Ljung-Box,12,18.97008009664078,0.08925306468054972
S5,expectativa,Ljung-Box,18,27.11743200213501,0.07681910525851732
S5,expectativa,Ljung-Box,24,33.65050019804208,0.09107481887831748
S5,expectativa,Jarque-Bera,NA,3.915669764140236,0.14116372640567953
S6,inflacion,Ljung-Box,1,1.6686155164523626,0.19644407726552782
S6,inflacion,Ljung-Box,2,1.9719907060638229,0.3730677079968192
S6,inflacion,Ljung-Box,5,6.277984908967058,0.28010174859916037
S6,inflacion,Ljung-Box,12,50.83166981628895,9.973980944488758e-7
S6,inflacion,Ljung-Box,18,56.58749459988146,7.195915263435992e-6
S6,inflacion,Ljung-Box,24,77.31377265543613,1.6204007502462758e-7
S6,inflacion,Jarque-Bera,NA,2.2493849455181865,0.32475232218914335
S6,expectativa,Ljung-Box,1,0.19897356857872636,0.655550630572424
S6,expectativa,Ljung-Box,2,5.012330887002633,0.08158046513715311
S6,expectativa,Ljung-Box,5,15.726147624926012,0.00767102266632258
S6,expectativa,Ljung-Box,12,23.9810329964508,0.020462190047888962
S6,expectativa,Ljung-Box,18,31.40810843653908,0.025808987621940616
S6,expectativa,Ljung-Box,24,41.64739267594863,0.014128351998025312
S6,expectativa,Jarque-Bera,NA,2.634787299900119,0.2678324581954048
