fecha,ecuacion,residuo_estandarizado
2010-07-01,expectativa,-7.173027043503476
2022-06-01,inflacion,3.257502587190415
2020-01-01,inflacion,-2.903873264304035
2023-05-01,inflacion,-2.865390062713814
2010-05-01,expectativa,-2.7463404719462554
2023-06-01,inflacion,-2.6396424870565456
2019-01-01,inflacion,2.638771335422935
2011-05-01,expectativa,-2.464679769448211
2019-09-01,inflacion,-2.3842401933719173
2012-09-01,expectativa,2.2898266585853375
2019-08-01,inflacion,-2.2764841445337742
2022-05-01,inflacion,2.207696271565275
2016-01-01,inflacion,2.188317578936542
2014-08-01,expectativa,-2.109177341203046
2018-07-01,inflacion,-2.102331238040842
2020-08-01,inflacion,2.075539725040974
2011-01-01,expectativa,-2.026186258113388
2013-02-01,expectativa,-2.0217476418676696
2023-03-01,inflacion,-1.9876540813815176
2011-12-01,expectativa,-1.9725596827872287
