variable,medida,especificacion,observaciones,fecha_inicial,fecha_final,log_verosimilitud,AIC,BIC,R2_ajustado,p_BG_12,JB,p_JB,p_LB_12,delta_AIC_dentro_medida,delta_BIC_dentro_medida
infl_interanual_base,Inflación interanual de la base,AR1,197,2010-02-01,2026-06-01,-170.42316926092988,348.84633852185976,361.9791534368117,0.892366960055462,2.0120363501705605e-10,4.404993927526202,0.11052683202306457,1.3322676295501878e-15,30.360563418186302,10.814796742504939
infl_interanual_base,Inflación interanual de la base,AR4,194,2010-05-01,2026-06-01,-149.24288755183673,318.48577510367346,351.1643566943068,0.909251516326953,2.0246199853698652e-8,5.75725618274756,0.056211827450215315,1.0736988742543474e-7,0,0
infl_interanual_ipc,Inflación interanual calculada desde IPC,AR1,185,2011-02-01,2026-06-01,-151.1848666941355,310.369733388271,323.25115668858433,0.8976485472169653,2.2109956593429786e-10,5.012206895820101,0.08158552292310363,5.551115123125783e-16,25.51690653493972,6.358262964485107
infl_interanual_ipc,Inflación interanual calculada desde IPC,AR4,182,2011-05-01,2026-06-01,-132.42641342666565,284.8528268533313,316.8928937240992,0.9121355311075766,2.7797504929699703e-8,6.082272627240072,0.04778056492847053,1.073912918592157e-7,0,0
infl_mensual_sa,Inflación mensual desestacionalizada,AR1,196,2010-03-01,2026-06-01,-84.671719060961,177.343438121922,190.45589675884406,0.04477937650315933,0.1857284810754866,8.839728690957141,0.012035864893478004,0.3857849038560941,0.7422688048187069,0
infl_mensual_sa,Inflación mensual desestacionalizada,AR4,193,2010-06-01,2026-06-01,-78.30058465855164,176.60116931710328,209.22807120615215,0.049972675656116294,0.24884147953888067,14.751046374897236,6.263988886665749e-4,0.6523185839280885,0,18.77217444730809
infl_mensual_sa_anualizada,Inflación mensual desestacionalizada anualizada,AR1,196,2010-03-01,2026-06-01,-571.7134224194091,1151.4268448388182,1164.5393034757403,0.04477937650315944,0.1857284810754803,8.839728690957077,0.012035864893478389,0.38578490385609354,15.651708703546547,0
infl_mensual_sa_anualizada,Inflación mensual desestacionalizada anualizada,AR4,193,2010-06-01,2026-06-01,-557.8875680676358,1135.7751361352716,1168.4020380243205,0.04997267565611618,0.2488414795388828,14.75104637489707,6.263988886666266e-4,0.6523185839280903,0,3.8627345485801925
infl_3m_sa_anualizada,Inflación de tres meses desestacionalizada anualizada,AR1,194,2010-05-01,2026-06-01,-411.3343611523191,830.6687223046382,843.7401549408916,0.5354574527966351,1.6219231006696982e-12,1.891096222591963,0.3884665896124818,2.471645110802001e-11,71.91106397820988,52.45976233399699
infl_3m_sa_anualizada,Inflación de tres meses desestacionalizada anualizada,AR4,191,2010-08-01,2026-06-01,-369.37882916321416,758.7576583264283,791.2803926068946,0.6721642352974294,2.457722670420789e-4,2.800900190272153,0.2464859968223188,0.004589295758927969,0,0
infl_subyacente,Inflación subyacente interanual,AR1,197,2010-02-01,2026-06-01,97.86344044304734,-187.72688088609468,-174.59406597114273,0.9599753944139351,2.2250037325728425e-8,44.79094572652949,1.8783205754588175e-10,0,50.13456624857369,30.588799572892356
infl_subyacente,Inflación subyacente interanual,AR4,194,2010-05-01,2026-06-01,128.93072356733418,-237.86144713466837,-205.18286554403508,0.9698255859560444,0.0015729118152306805,57.5853699373556,3.1296501972663437e-13,0.004567706013380413,0,0
