fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2010-02-01,B0,Modelo base TVP-VAR,3.602240941291651,0.18438591434244292,0.2520246348694647,0.753486648172879,6.391604626833373,2.48,4.25,5,1.3916046268333728,FALSE
2010-03-01,B0,Modelo base TVP-VAR,3.659889548901746,0.1850939719957117,0.252024634869465,0.752540015855456,6.502061701700479,3.93,6.26,5,1.5020617017004794,FALSE
2010-04-01,B0,Modelo base TVP-VAR,3.6085673799571785,0.18348086745530184,0.2520246348694606,0.754696643754731,6.392564311642314,3.75,5.81,5,1.3925643116423139,FALSE
2010-05-01,B0,Modelo base TVP-VAR,3.5671568553694675,0.1822023290832778,0.25202463486945703,0.7564059759488492,6.304925523300238,3.51,5.7,5,1.3049255233002377,FALSE
2010-06-01,B0,Modelo base TVP-VAR,3.5272412766792614,0.1809719411784235,0.25202463486945526,0.7580509337405272,6.220846519927026,4.07,5.45,5,1.2208465199270258,FALSE
2010-07-01,B0,Modelo base TVP-VAR,3.5024998287376903,0.18019901493191207,0.25202463486945614,0.7590842916324363,6.1688019015099345,4.12,5.11,5,1.1688019015099345,FALSE
2010-08-01,B0,Modelo base TVP-VAR,3.528623986128261,0.18120421409507775,0.2520246348694619,0.7577403982236051,6.225835559346406,4.1,5.57,5,1.2258355593464056,FALSE
2010-09-01,B0,Modelo base TVP-VAR,3.554038413245175,0.18218429819314597,0.2520246348694619,0.7564300822108616,6.28153857656867,3.76,5.68,5,1.2815385765686704,FALSE
2010-10-01,B0,Modelo base TVP-VAR,3.581975654792091,0.1832532231861612,0.25202463486946236,0.7550009910364098,6.342899257427923,4.51,5.89,5,1.3428992574279226,FALSE
2010-11-01,B0,Modelo base TVP-VAR,3.5908178470160257,0.18370547878990226,0.25202463486946225,0.7543963513319163,6.3636531630333,5.25,6.22,5,1.3636531630333,FALSE
2010-12-01,B0,Modelo base TVP-VAR,3.5674522075167343,0.18291011593364037,0.252024634869462,0.7554597056793193,6.313345604931461,5.39,6.2,5,1.3133456049314614,FALSE
2011-01-01,B0,Modelo base TVP-VAR,3.5334258525084348,0.18163403614565507,0.2520246348694628,0.7571657508881242,6.239039377263523,4.9,5.85,5,1.2390393772635226,FALSE
2011-02-01,B0,Modelo base TVP-VAR,3.522313076344591,0.1814187366760696,0.2520246348694627,0.7574535938835255,6.217053864418193,5.24,5.81,5,1.217053864418193,FALSE
2011-03-01,B0,Modelo base TVP-VAR,3.5189006568638277,0.1815275160527008,0.25202463486946264,0.7573081621197237,6.212223530537741,4.99,6.13,5,1.2122235305377407,FALSE
2011-04-01,B0,Modelo base TVP-VAR,3.49556420172509,0.1807395847149493,0.2520246348694626,0.758361580954733,6.16245364346383,5.76114812916453,6.19,5,1.16245364346383,FALSE
2011-05-01,B0,Modelo base TVP-VAR,3.447007572816176,0.17887073629089387,0.252024634869463,0.7608601237025002,6.056896040090796,6.3930220625962,5.74,5,1.0568960400907956,FALSE
