codigo_modelo,descripcion,intento,convergencia,log_verosimilitud
B0,Modelo base TVP-VAR,1,0,-162.27536062233978
B0,Modelo base TVP-VAR,2,0,-146.33274507356052
B0,Modelo base TVP-VAR,3,0,-146.33274507349557
B0,Modelo base TVP-VAR,4,0,-146.33274507587254
B0,Modelo base TVP-VAR,5,0,-146.33274507399983
B0,Modelo base TVP-VAR,6,0,-146.33274507520295
B0,Modelo base TVP-VAR,7,0,-146.33274507389262
B0,Modelo base TVP-VAR,8,0,-146.33274509236242
B0,Modelo base TVP-VAR,9,0,-146.3327451488449
R1,Inflación AR(2),1,0,-150.8740420590513
R1,Inflación AR(2),2,0,-109.90099186961334
R1,Inflación AR(2),3,0,-109.90099190119312
R1,Inflación AR(2),4,0,-109.90099235585262
R1,Inflación AR(2),5,0,-109.90099256186781
R1,Inflación AR(2),6,0,-109.9009929095683
R1,Inflación AR(2),7,0,-109.90099212485102
R1,Inflación AR(2),8,0,-109.90099210791051
R1,Inflación AR(2),9,0,-109.90099335643694
R2,Inflación AR(4),1,0,-106.46062035626015
R2,Inflación AR(4),2,0,-100.4664061822042
R2,Inflación AR(4),3,0,-100.46640617834858
R2,Inflación AR(4),4,0,-100.46640620904427
R2,Inflación AR(4),5,0,-100.46640617854939
R2,Inflación AR(4),6,0,-100.4664061783495
R2,Inflación AR(4),7,0,-100.46640618016313
R2,Inflación AR(4),8,0,-100.46640617865322
R2,Inflación AR(4),9,0,-100.46640630818708
R3,Inflación AR(1) + rezago 12,1,0,-104.54260653355988
R3,Inflación AR(1) + rezago 12,2,0,-98.78742784368953
R3,Inflación AR(1) + rezago 12,3,0,-98.78742784150654
R3,Inflación AR(1) + rezago 12,4,0,-98.78742784111988
R3,Inflación AR(1) + rezago 12,5,0,-98.7874278490949
R3,Inflación AR(1) + rezago 12,6,0,-98.7874278650977
R3,Inflación AR(1) + rezago 12,7,0,-98.78742785267306
R3,Inflación AR(1) + rezago 12,8,0,-98.78742784172863
R3,Inflación AR(1) + rezago 12,9,0,-98.78742786275856
