codigo,ecuacion,diagnostico,rezago,estadistico,p_valor
BASE,inflacion,Ljung-Box,6,27.956901764441596,9.573509533455926e-5
BASE,inflacion,Ljung-Box,12,103.64444449633777,1.1102230246251565e-16
BASE,inflacion,Ljung-Box,24,135.81108825438474,0
BASE,inflacion,Jarque-Bera,NA,6.41074193681106,0.040543858357264775
BASE,expectativa,Ljung-Box,6,5.7591474409464025,0.4507042134488335
BASE,expectativa,Ljung-Box,12,13.594466941709255,0.3273505995034931
BASE,expectativa,Ljung-Box,24,28.527932992897444,0.23840389775092174
BASE,expectativa,Jarque-Bera,NA,3.9477311029795907,0.1389188191317387
YOYIPC,inflacion,Ljung-Box,6,28.05725806843331,9.16581656829063e-5
YOYIPC,inflacion,Ljung-Box,12,102.95212191258601,1.1102230246251565e-16
YOYIPC,inflacion,Ljung-Box,24,134.6864421216938,0
YOYIPC,inflacion,Jarque-Bera,NA,5.538864713213507,0.06269758451250802
YOYIPC,expectativa,Ljung-Box,6,6.389824033776932,0.38096662856705477
YOYIPC,expectativa,Ljung-Box,12,14.339965123307628,0.2795275768198129
YOYIPC,expectativa,Ljung-Box,24,29.37807864291469,0.20622587107921975
YOYIPC,expectativa,Jarque-Bera,NA,4.420573932472015,0.10966917264979066
MSA,inflacion,Ljung-Box,6,10.21851535532055,0.11574638082815658
MSA,inflacion,Ljung-Box,12,14.698810976301031,0.25832227890485937
MSA,inflacion,Ljung-Box,24,31.59654072825868,0.13731680563109883
MSA,inflacion,Jarque-Bera,NA,9.799018448607391,0.007450238569857706
MSA,expectativa,Ljung-Box,6,10.274483099934484,0.11355875019257089
MSA,expectativa,Ljung-Box,12,17.797184367259717,0.12198890695640163
MSA,expectativa,Ljung-Box,24,36.36041794607032,0.05062054402442906
MSA,expectativa,Jarque-Bera,NA,7.575841689141958,0.02264263049236838
MSAA,inflacion,Ljung-Box,6,10.218515355319958,0.1157463808281799
MSAA,inflacion,Ljung-Box,12,14.698810976300443,0.25832227890489323
MSAA,inflacion,Ljung-Box,24,31.596540728257818,0.1373168056311217
MSAA,inflacion,Jarque-Bera,NA,9.79901844860652,0.007450238569860955
MSAA,expectativa,Ljung-Box,6,10.274356356760658,0.1135636621806726
MSAA,expectativa,Ljung-Box,12,17.797108907431635,0.12199130305781958
MSAA,expectativa,Ljung-Box,24,36.360403533496644,0.05062070868119761
MSAA,expectativa,Jarque-Bera,NA,7.5757221879043914,0.022643983443970624
M3AA,inflacion,Ljung-Box,6,68.34112622417112,8.945066909404886e-13
M3AA,inflacion,Ljung-Box,12,73.31540269599508,7.639655574820381e-11
M3AA,inflacion,Ljung-Box,24,111.59672555014494,2.964295475749168e-13
M3AA,inflacion,Jarque-Bera,NA,3.0096205005331296,0.22205942555138689
M3AA,expectativa,Ljung-Box,6,4.684722369494259,0.5848375212994019
M3AA,expectativa,Ljung-Box,12,15.711179396793812,0.20482554176613932
M3AA,expectativa,Ljung-Box,24,29.901500765807352,0.18803789392806625
M3AA,expectativa,Jarque-Bera,NA,4.959826991353892,0.0837504700565704
SUBY,inflacion,Ljung-Box,6,112.37222175098027,0
SUBY,inflacion,Ljung-Box,12,139.4881955330681,0
SUBY,inflacion,Ljung-Box,24,158.91686290081898,0
SUBY,inflacion,Jarque-Bera,NA,28.592729747181657,6.182549812319125e-7
SUBY,expectativa,Ljung-Box,6,5.446031315536196,0.4880034043509254
SUBY,expectativa,Ljung-Box,12,11.959065297004871,0.44897275327018726
SUBY,expectativa,Ljung-Box,24,29.564453122966277,0.19960895633032816
SUBY,expectativa,Jarque-Bera,NA,2.137087933450555,0.3435083130047849
