modelo,intento,convergencia,log_verosimilitud,mensaje
Constante + pulso sep-2012,3,0,54.45740904423157,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante + pulso sep-2012,1,0,54.457409044231355,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante + pulso sep-2012,2,0,54.457409044231184,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante + pulso sep-2012,4,0,37.618787171416784,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante + pulso sep-2012,5,0,-2.3326062595381423,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,7,0,62.046340089469076,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,3,0,62.0463400894688,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,2,0,62.04634008946837,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,4,0,62.04634008946797,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,5,0,62.046340089395734,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,6,0,62.04634008922077,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,1,0,62.04634008817745,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP + pulso sep-2012,8,0,54.45756656860645,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
