modelo,intento,convergencia,log_verosimilitud,mensaje
VAR(1) constante SSM,1,0,-184.44648780437646,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
VAR(1) constante SSM,2,0,-184.44648780437868,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
VAR(1) constante SSM,3,0,-220.92727980056986,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),1,0,-184.44553787642243,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),2,0,-151.47424664351044,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),3,0,-139.5845413472754,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),4,0,-134.44095559034392,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),5,0,-134.44018478892377,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),6,0,-132.78000266041684,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),7,0,-132.77923263751376,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),8,0,-134.44024792416073,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),9,0,-132.7793465186145,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP-VAR(1),10,0,-134.44057434477088,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
