fecha,infl_gt,fecha_origen_pronostico,expectativa_12m_origen,sorpresa_h12_exacta,fecha_realizacion_sorpresa_disponible,fecha_origen_pronostico_disponible,expectativa_12m_origen_disponible,inflacion_realizada_disponible,sorpresa_h12_disponible
2011-02-01,5.24,2010-02-01,3.97,1.27,2011-01-01,2010-01-01,3.34,4.9,1.5600000000000005
2011-03-01,4.99,2010-03-01,5.39,-0.39999999999999947,2011-02-01,2010-02-01,3.97,5.24,1.27
2011-04-01,5.761148129164525,2010-04-01,5.04,0.7211481291645248,2011-03-01,2010-03-01,5.39,4.99,-0.39999999999999947
2011-05-01,6.393022062596202,2010-05-01,5.36,1.0330220625962019,2011-04-01,2010-04-01,5.04,5.761148129164525,0.7211481291645248
2011-06-01,6.422299366959379,2010-06-01,4.81,1.6122993669593795,2011-05-01,2010-05-01,5.36,6.393022062596202,1.0330220625962019
2011-07-01,7.039674465920641,2010-07-01,4.89,2.1496744659206417,2011-06-01,2010-06-01,4.81,6.422299366959379,1.6122993669593795
2011-08-01,7.625826131164203,2010-08-01,5.35,2.2758261311642034,2011-07-01,2010-07-01,4.89,7.039674465920641,2.1496744659206417
2011-09-01,7.249315624049487,2010-09-01,5.89,1.3593156240494872,2011-08-01,2010-08-01,5.35,7.625826131164203,2.2758261311642034
2011-10-01,6.65,2010-10-01,5.96,0.6900000000000004,2011-09-01,2010-09-01,5.89,7.249315624049487,1.3593156240494872
2011-11-01,6.054843875100062,2010-11-01,5.95,0.10484387510006155,2011-10-01,2010-10-01,5.96,6.65,0.6900000000000004
2011-12-01,6.200000000000003,2010-12-01,5.71,0.4900000000000029,2011-11-01,2010-11-01,5.95,6.054843875100062,0.10484387510006155
2012-01-01,5.44,2011-01-01,5.99,-0.5499999999999998,2011-12-01,2010-12-01,5.71,6.200000000000003,0.4900000000000029
2012-02-01,5.17,2011-02-01,5.5,-0.33000000000000007,2012-01-01,2011-01-01,5.99,5.44,-0.5499999999999998
2012-03-01,4.55,2011-03-01,6.24,-1.6900000000000004,2012-02-01,2011-02-01,5.5,5.17,-0.33000000000000007
2012-04-01,4.27,2011-04-01,6.07,-1.8000000000000007,2012-03-01,2011-03-01,6.24,4.55,-1.6900000000000004
2012-05-01,3.9,2011-05-01,5.96,-2.06,2012-04-01,2011-04-01,6.07,4.27,-1.8000000000000007
2012-06-01,3.47,2011-06-01,6.38,-2.9099999999999997,2012-05-01,2011-05-01,5.96,3.9,-2.06
2012-07-01,2.86,2011-07-01,5.96,-3.1,2012-06-01,2011-06-01,6.38,3.47,-2.9099999999999997
2012-08-01,2.71,2011-08-01,6.33,-3.62,2012-07-01,2011-07-01,5.96,2.86,-3.1
2012-09-01,3.28,2011-09-01,6.69,-3.4100000000000006,2012-08-01,2011-08-01,6.33,2.71,-3.62
2012-10-01,3.35,2011-10-01,6.69,-3.3400000000000003,2012-09-01,2011-09-01,6.69,3.28,-3.4100000000000006
2012-11-01,3.11,2011-11-01,6.85,-3.7399999999999998,2012-10-01,2011-10-01,6.69,3.35,-3.3400000000000003
2012-12-01,3.45,2011-12-01,5.94,-2.49,2012-11-01,2011-11-01,6.85,3.11,-3.7399999999999998
2013-01-01,3.86,2012-01-01,5.97,-2.11,2012-12-01,2011-12-01,5.94,3.45,-2.49
2013-02-01,4.18,2012-02-01,6,-1.8200000000000003,2013-01-01,2012-01-01,5.97,3.86,-2.11
2013-03-01,4.34,2012-03-01,5.59,-1.25,2013-02-01,2012-02-01,6,4.18,-1.8200000000000003
2013-04-01,4.13,2012-04-01,5.84,-1.71,2013-03-01,2012-03-01,5.59,4.34,-1.25
2013-05-01,4.27,2012-05-01,5.26,-0.9900000000000002,2013-04-01,2012-04-01,5.84,4.13,-1.71
2013-06-01,4.79,2012-06-01,4.89,-0.09999999999999964,2013-05-01,2012-05-01,5.26,4.27,-0.9900000000000002
2013-07-01,4.74,2012-07-01,4.71,0.03000000000000025,2013-06-01,2012-06-01,4.89,4.79,-0.09999999999999964
