modelo,intento,convergencia,log_verosimilitud,mensaje
Sorpresa exacta sin pulso - beta constante,1,0,50.94623093602381,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta constante,2,0,50.94623093602368,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta constante,3,0,50.94623093602481,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta constante,4,0,34.54108629031988,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta constante,5,0,-4.842159960075175,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,1,0,50.9462314786397,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,2,0,50.94628226715152,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,3,0,50.946493631530814,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,4,0,50.946484699022314,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,5,0,50.94649363199008,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,6,0,50.94649363074169,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,7,0,50.94649363197666,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,8,0,50.946493632020065,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta sin pulso - beta TVP,9,0,50.94649363204252,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta constante,1,0,56.89666182335335,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta constante,2,0,56.896661823353114,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta constante,3,0,56.896661823353334,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta constante,4,0,40.82570984649612,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta constante,5,0,1.7890371863809902,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,1,0,56.89670740814193,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,2,0,57.386558570539876,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,3,0,57.386558570534014,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,4,0,57.38655857000743,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,5,0,57.38655856899161,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,6,0,57.386558570539975,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,7,0,57.38655857053992,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,8,0,57.3865585693421,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa exacta con pulso - beta TVP,9,0,57.38655857054009,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta constante,1,0,50.360712401038626,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta constante,2,0,50.36071240103836,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta constante,3,0,50.36071240103952,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta constante,4,0,33.9555677553346,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta constante,5,0,-5.427678495060382,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,1,0,50.36071150300024,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,2,0,50.36062202893867,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,3,0,50.35976431109148,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,4,0,50.36071046478213,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,5,0,51.340262476739134,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,6,0,51.34026247671244,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,7,0,51.34026247673866,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,8,0,51.34026247673901,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible sin pulso - beta TVP,9,0,51.34026247673264,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta constante,1,0,56.58115915985351,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta constante,2,0,56.581159159853165,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta constante,3,0,56.58115915985345,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta constante,4,0,40.51020718299617,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta constante,5,0,1.4735345228811525,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,1,0,56.5812020797522,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,2,0,57.57829946275764,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,3,0,57.57829946293727,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,4,0,57.57829946294861,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,5,0,57.57829946294978,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,6,0,57.5782994629529,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,7,0,57.57829946295324,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,8,0,57.57829946295276,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Sorpresa disponible con pulso - beta TVP,9,0,57.57829946295292,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
