modelo,intento,convergencia,log_verosimilitud,mensaje
Constante SSM,1,0,57.76931857520249,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM,2,0,57.769318575619174,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM,3,0,57.769318575386585,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM,4,0,38.05826041638966,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM,5,0,57.76931857545307,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,1,0,57.7693274187522,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,2,0,57.770202783103784,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,3,0,60.65721813725104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,4,0,60.65721813769787,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,5,0,60.65721810113642,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,6,0,60.65721804950571,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,7,0,60.657218126643,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,8,0,60.657218138157816,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,9,0,60.65721787023432,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,10,0,60.65721813815149,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP anclaje con sorpresa,11,0,60.657218138355795,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
