modelo,intento,convergencia,log_verosimilitud,mensaje
Anclaje constante SSM,1,0,57.5315457705621,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Anclaje constante SSM,2,0,57.531545770924026,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Anclaje constante SSM,3,0,57.531545770942365,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Anclaje constante SSM,4,0,36.54568004224733,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Anclaje constante SSM,5,0,57.531545767052606,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,1,0,64.02368721412044,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,2,0,64.02429021385711,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,3,0,64.02429050880524,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,4,0,64.02429088742323,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,5,0,63.122098313975876,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,6,0,63.0339323051053,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,7,0,63.122265073795624,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,8,0,63.122586245867254,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,9,0,63.12208790362495,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,10,0,63.028504926841464,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,11,0,63.12300495149011,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP base sin sorpresa,12,0,63.123102788921535,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,1,0,64.15219604938436,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,2,0,64.15219817292952,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,3,0,64.152197575048,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,4,0,64.15219785692348,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,5,0,64.4858783562241,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,6,0,64.45055885604637,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,7,0,64.52114215401792,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,8,0,64.44863036813831,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,9,0,64.52465874996597,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,10,0,64.49385862638628,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,11,0,64.52533482022211,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,12,0,64.4246154940743,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,13,0,64.15265951299288,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,14,0,64.15269015058477,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,15,0,64.15280688467139,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP con sorpresa en transición,16,0,64.1528068875455,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
