especificacion,modelo,intento,convergencia,log_verosimilitud,mensaje
Núcleo Strohsal,Constante SSM,1,0,47.74419477656321,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,Constante SSM,2,0,47.744194776336215,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,Constante SSM,3,0,47.74419477585562,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,Constante SSM,4,0,6.506983738426663,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,Constante SSM,5,0,47.74419477656558,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,1,0,47.74439469144521,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,2,0,48.202192520331764,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,3,0,48.20365153168459,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,4,0,48.203639198040186,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,5,0,48.203627535025156,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,6,0,48.202905542538375,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,7,0,48.203651300464,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,8,0,48.20365145020679,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,9,0,48.20364797958364,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Núcleo Strohsal,TVP Strohsal,10,0,48.20364963234808,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,Constante SSM,1,0,45.10401898712923,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,Constante SSM,2,0,45.104018987126594,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,Constante SSM,3,0,45.10401894869709,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,Constante SSM,4,0,5.2606492112437735,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,Constante SSM,5,0,45.10401898711716,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,1,0,45.104192560028835,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,2,0,45.49172455038385,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,3,0,45.49312992122931,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,4,0,45.49312965935757,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,5,0,45.49313030350014,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,6,0,45.404608590536924,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,7,0,45.49310284356922,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,8,0,45.49313024521005,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,9,0,45.49313024530789,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Strohsal + tipo de cambio,TVP Strohsal,10,0,45.493130521111794,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
