modelo,intento,exitoso,convergencia,log_verosimilitud,mensaje
Constante SSM reparametrizado,5,TRUE,0,47.74419477656559,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM reparametrizado,1,TRUE,0,47.74419477656326,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM reparametrizado,2,TRUE,0,47.74419477633623,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM reparametrizado,3,TRUE,0,47.74419477585569,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Constante SSM reparametrizado,4,TRUE,0,6.506983738426756,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,8,TRUE,0,48.20365169722127,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,10,TRUE,0,48.20365169719564,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,13,TRUE,0,48.20365161811784,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,4,TRUE,0,48.20365155108909,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,11,TRUE,0,48.203650947617604,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,5,TRUE,0,48.20363913181959,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,6,TRUE,0,48.203638244749406,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,7,TRUE,0,48.20342329844932,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,3,TRUE,0,48.202192520566584,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,12,TRUE,0,48.20138010581063,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,9,TRUE,0,48.20136846427769,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,2,TRUE,0,47.7443946914451,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
TVP Strohsal reparametrizado,1,TRUE,0,47.744196775682674,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
