codigo_modelo,modelo,intento,exito,convergencia,log_verosimilitud,mensaje
M0,M0: VAR(1) constante SSM,1,TRUE,0,-184.44648780437643,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M0,M0: VAR(1) constante SSM,2,TRUE,0,-184.44648780437794,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M0,M0: VAR(1) constante SSM,3,TRUE,0,-220.92727980056964,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,1,TRUE,0,-184.44646449375907,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,2,TRUE,0,-184.44415815311183,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,3,TRUE,0,-172.5543483947244,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,4,TRUE,0,-172.5543099273267,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,5,TRUE,0,-172.55397392455598,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,6,TRUE,0,-170.89296825614062,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,7,TRUE,0,-170.89297553847527,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,8,TRUE,0,-170.89296846136963,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,9,TRUE,0,-172.5539919061739,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,10,TRUE,0,-172.553978723115,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,11,TRUE,0,-171.1592415653482,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,12,TRUE,0,-172.55430418327964,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M1,M1: TVP solo inflación,13,TRUE,0,-174.52079211280088,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,1,TRUE,0,-184.44556118704048,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,2,TRUE,0,-151.47725418753245,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,3,TRUE,0,-151.47692633057684,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,4,TRUE,0,-146.3327454720716,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,5,TRUE,0,-146.3327470024398,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,6,TRUE,0,-146.33277641125966,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
M2,M2: TVP completa en expectativas,7,TRUE,0,-146.3327493045564,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
