"bloque","medida","2010-2026","2010-2015","2016-2020","2021-2026"
"Inflación observada","Media",4.03,4,3.91,4.18
"Inflación observada","Desviación estándar",1.77,1.35,1.04,2.55
"Expectativa a 12 meses","Media",4.44,4.81,4.24,4.22
"Expectativa a 12 meses","Desviación estándar",0.8,0.99,0.31,0.74
"Expectativa a 24 meses","Media",4.45,4.94,4.31,4.05
"Expectativa a 24 meses","Desviación estándar",0.69,0.88,0.24,0.36
"Distancia absoluta a la meta (12 meses)","Media",0.68,1.05,0.34,0.59
"Distancia absoluta a la meta (12 meses)","Desviación estándar",0.61,0.73,0.19,0.49
"Distancia absoluta a la meta (24 meses)","Media",0.59,1.07,0.34,0.3
"Distancia absoluta a la meta (24 meses)","Desviación estándar",0.58,0.71,0.19,0.2
"Expectativa a 12 meses","% dentro de la banda",81.31,62.5,100,84.85
"Expectativa a 24 meses","% dentro de la banda",84.34,56.94,100,100
